[DEBUG] 2021-02-21 15:40:09.357 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-21 15:40:09.378 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-21 15:40:09.385 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-21 15:40:09.528 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-21 15:40:09.532 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-21 15:40:09.992 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-21 15:40:10.582 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-21 15:40:10.619 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-21 15:40:10.622 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-21 15:40:10.667 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-21 15:40:10.766 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2a22ad2b
[DEBUG] 2021-02-21 15:40:10.766 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2a22ad2b
[DEBUG] 2021-02-21 15:40:10.766 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2a22ad2b
[DEBUG] 2021-02-21 15:40:10.768 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7c6442c2
[DEBUG] 2021-02-21 15:40:10.769 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@47e4d9d0
[DEBUG] 2021-02-21 15:40:10.770 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@515ebef3
[DEBUG] 2021-02-21 15:40:10.773 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12f8b1d8
[DEBUG] 2021-02-21 15:40:10.774 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12f8b1d8
[DEBUG] 2021-02-21 15:40:10.774 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@12f8b1d8
[DEBUG] 2021-02-21 15:40:10.776 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@127f9161
[DEBUG] 2021-02-21 15:40:10.776 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@127f9161
[DEBUG] 2021-02-21 15:40:10.777 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@127f9161
[DEBUG] 2021-02-21 15:40:10.778 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1ba05e38
[DEBUG] 2021-02-21 15:40:10.779 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1ba05e38
[DEBUG] 2021-02-21 15:40:10.779 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1ba05e38
[DEBUG] 2021-02-21 15:40:10.781 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@2c306a57
[DEBUG] 2021-02-21 15:40:10.781 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@2c306a57
[DEBUG] 2021-02-21 15:40:10.781 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2c306a57
[DEBUG] 2021-02-21 15:40:10.783 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b94ccbc
[DEBUG] 2021-02-21 15:40:10.784 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b94ccbc
[DEBUG] 2021-02-21 15:40:10.784 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5b94ccbc
[DEBUG] 2021-02-21 15:40:10.785 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3ac04654
[DEBUG] 2021-02-21 15:40:10.785 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3ac04654
[DEBUG] 2021-02-21 15:40:10.786 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3ac04654
[DEBUG] 2021-02-21 15:40:10.787 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@562457e1
[DEBUG] 2021-02-21 15:40:10.787 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@562457e1
[DEBUG] 2021-02-21 15:40:10.787 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@562457e1
[DEBUG] 2021-02-21 15:40:10.789 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3721177d
[DEBUG] 2021-02-21 15:40:10.789 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3721177d
[DEBUG] 2021-02-21 15:40:10.791 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@630d1b2f
[DEBUG] 2021-02-21 15:40:10.791 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@630d1b2f
[DEBUG] 2021-02-21 15:40:10.793 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4c2869a9
[DEBUG] 2021-02-21 15:40:10.793 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4c2869a9
[DEBUG] 2021-02-21 15:40:10.794 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6136998b
[DEBUG] 2021-02-21 15:40:10.795 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@56f71edb
[DEBUG] 2021-02-21 15:40:10.796 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@20095ab4
[DEBUG] 2021-02-21 15:40:10.796 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@20095ab4
[DEBUG] 2021-02-21 15:40:10.798 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@621f89b8
[DEBUG] 2021-02-21 15:40:10.798 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@621f89b8
[DEBUG] 2021-02-21 15:40:10.814 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@287f7811
[DEBUG] 2021-02-21 15:40:10.815 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@287f7811
[DEBUG] 2021-02-21 15:40:10.817 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3051e0b2
[DEBUG] 2021-02-21 15:40:10.818 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3051e0b2
[DEBUG] 2021-02-21 15:40:10.822 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2d5f7182
[DEBUG] 2021-02-21 15:40:10.822 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2d5f7182
[DEBUG] 2021-02-21 15:40:10.824 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@8ed9cf
[DEBUG] 2021-02-21 15:40:10.825 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@8ed9cf
[DEBUG] 2021-02-21 15:40:10.827 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@153d4abb
[DEBUG] 2021-02-21 15:40:10.828 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@153d4abb
[DEBUG] 2021-02-21 15:40:10.831 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@64bfd6fd
[DEBUG] 2021-02-21 15:40:10.831 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@64bfd6fd
[DEBUG] 2021-02-21 15:40:10.834 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1d25c1c
[DEBUG] 2021-02-21 15:40:10.834 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1d25c1c
[DEBUG] 2021-02-21 15:40:10.836 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@7f829c76
[DEBUG] 2021-02-21 15:40:10.839 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7f829c76
[DEBUG] 2021-02-21 15:40:10.841 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4a5905d9
[DEBUG] 2021-02-21 15:40:10.841 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4a5905d9
[DEBUG] 2021-02-21 15:40:10.843 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@ec1b2e4
[DEBUG] 2021-02-21 15:40:10.844 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@ec1b2e4
[DEBUG] 2021-02-21 15:40:10.844 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@ec1b2e4
[DEBUG] 2021-02-21 15:40:10.846 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@de18f63
[DEBUG] 2021-02-21 15:40:10.847 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@15dd5ac2
[DEBUG] 2021-02-21 15:40:10.848 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@15dd5ac2
[DEBUG] 2021-02-21 15:40:10.848 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@15dd5ac2
