[DEBUG] 2021-03-11 14:56:25.641 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-11 14:56:25.658 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-11 14:56:25.681 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-11 14:56:25.947 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-11 14:56:25.951 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-11 14:56:26.415 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-11 14:56:26.959 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-11 14:56:27.017 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-11 14:56:27.019 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-11 14:56:27.085 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-11 14:56:27.204 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@59d0cdb6
[DEBUG] 2021-03-11 14:56:27.204 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@59d0cdb6
[DEBUG] 2021-03-11 14:56:27.204 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@59d0cdb6
[DEBUG] 2021-03-11 14:56:27.206 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@16ee9aa7
[DEBUG] 2021-03-11 14:56:27.207 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@113ee1ce
[DEBUG] 2021-03-11 14:56:27.210 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6d963d70
[DEBUG] 2021-03-11 14:56:27.214 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5e180aaf
[DEBUG] 2021-03-11 14:56:27.214 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5e180aaf
[DEBUG] 2021-03-11 14:56:27.214 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5e180aaf
[DEBUG] 2021-03-11 14:56:27.218 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7135ce0a
[DEBUG] 2021-03-11 14:56:27.219 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7135ce0a
[DEBUG] 2021-03-11 14:56:27.219 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7135ce0a
[DEBUG] 2021-03-11 14:56:27.222 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@166c2c17
[DEBUG] 2021-03-11 14:56:27.222 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@166c2c17
[DEBUG] 2021-03-11 14:56:27.222 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@166c2c17
[DEBUG] 2021-03-11 14:56:27.223 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@15c6027d
[DEBUG] 2021-03-11 14:56:27.223 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@15c6027d
[DEBUG] 2021-03-11 14:56:27.223 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@15c6027d
[DEBUG] 2021-03-11 14:56:27.226 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@30bbcf91
[DEBUG] 2021-03-11 14:56:27.226 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@30bbcf91
[DEBUG] 2021-03-11 14:56:27.226 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@30bbcf91
[DEBUG] 2021-03-11 14:56:27.230 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@37c5284a
[DEBUG] 2021-03-11 14:56:27.230 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@37c5284a
[DEBUG] 2021-03-11 14:56:27.230 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@37c5284a
[DEBUG] 2021-03-11 14:56:27.234 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5729b410
[DEBUG] 2021-03-11 14:56:27.235 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5729b410
[DEBUG] 2021-03-11 14:56:27.235 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5729b410
[DEBUG] 2021-03-11 14:56:27.237 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@38588dea
[DEBUG] 2021-03-11 14:56:27.238 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@38588dea
[DEBUG] 2021-03-11 14:56:27.239 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3c9ef6e9
[DEBUG] 2021-03-11 14:56:27.239 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3c9ef6e9
[DEBUG] 2021-03-11 14:56:27.242 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5c18d6d4
[DEBUG] 2021-03-11 14:56:27.242 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5c18d6d4
[DEBUG] 2021-03-11 14:56:27.243 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@608cd501
[DEBUG] 2021-03-11 14:56:27.245 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@65be88ae
[DEBUG] 2021-03-11 14:56:27.247 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@487cd177
